"topic_name","max_gamma","title"
"Colombia-Venezuela Diplomacy",0.998372295500452,"Petro invitará a más sectores de la oposición venezolana: esto es lo que sabe"
"Colombia-Venezuela Diplomacy",0.998161680672826,"¿Se congelan o no las reformas del Gobierno en la Cámara de Representantes?"
"Colombia-Venezuela Diplomacy",0.998055726214672,"Congelar el debate, la estrategia para salvar las reformas en el Congreso"
"Colombia-Venezuela Diplomacy",0.997920629808622,"El balance de EE. UU. sobre la Cumbre de Venezuela, organizada por Gustavo Petro"
"Colombia-Venezuela Diplomacy",0.997361999984832,"Conferencia sobre Venezuela apunta a un segundo encuentro y pide elecciones pronto"
"Environmental Degradation",0.999260072236059,"'Es fundamental que se esté recuperando la certidumbre con empresarios': mincomercio"
"Environmental Degradation",0.999237243791101,"La oferta, clave para ganar la batalla de la descarbonización"
"Environmental Degradation",0.99908606535783,"Nuevo estudio hace el balance de las reservas de carbono en la Amazonia"
"Environmental Degradation",0.9987137911919,"Latinoamérica enfrenta la mayor reducción de especies y hábitats Esta región ha sufrido una mengua del 94 %"
"Environmental Degradation",0.998666026067139,"Gas natural, clave en la transición energética"
"Guerrilla",0.999133088291698,"Fiscalía apela fallo que negó preclución a favor de Álvaro Uribe"
"Guerrilla",0.999133083849831,"Fiscalía apela fallo que negó preclusión a favor de Álvaro Uribe"
"Guerrilla",0.998451690275255,"""Uribe siempre tuvo conocimiento de la operación del Aro"": Mancuso en la JEP"
"Guerrilla",0.99810361625724,"Julio Gerlein: El zar de la contratación al que Fiscalía imputará tras fuga de Merlano"
"Guerrilla",0.998034569408272,"Caso Álvaro Uribe: así avanza audiencia que define si se cierra elproceso en su contra"
"Migration",0.999052331141929,"Migrantes venezolanos no tienen protección ante el coronavirus en Norte de Santander"
"Migration",0.998710545614921,"Así está la situación en la frontera de EE. UU. tras una semana del fin del Título 42"
"Migration",0.99870431997937,"Accidentes viales, otro flagelo que enfrentan los migrantes, además del Darién"
"Migration",0.998442646543434,"Amnistía Internacional pidió a Colombia reconocer como refugiados a venezolanos"
"Migration",0.998382187091414,"La Guajira atraviesa otra ola migratoria, esta vez durante la pandemia"
"Soccer",0.999550490125589,"Mercado de fichajes, en vivo: movimientos de última hora en plena primera fecha"
"Soccer",0.999548233231262,"Mercado de fichajes, en vivo: movimientos de última hora antes de la primera fecha"
"Soccer",0.999515373799168,"Mercado de fichajes, en vivo: Santa Fe se sigue moviendo, pero perdió una pieza"
"Soccer",0.999479378948409,"Mercado de fichajes, en vivo: baja de Millonarios se va a otro equipo colombiano"
"Soccer",0.999392667968628,"Mercado de fichajes de la Liga, en vivo: 'Tití' Rodríguez debutó con gol en Junior"
"Venezuelan Politics",0.996817665547134,"Portugal responde a Maduro y dice que fue Venezuela quien atacó a su crucero"
"Venezuelan Politics",0.996639675628723,"Agente de la DEA, acusado de filtrar información confidencial sobre Álex Saab"
"Venezuelan Politics",0.996486993499866,"¿Qué se sabe de los negocios de Álex Saab y Álvaro Pulido en Venezuela ?"
"Venezuelan Politics",0.996464004100945,"Álex Saab, señalado por corrupción en Pdvsa: este sería el monto desfalcado"
"Venezuelan Politics",0.996463794168249,"Fiscalía venezolana pide capturas por operativo militar"
